accession,predicted_CT,actual_CT,predicted_CG,actual_CG,predicted_TG,actual_TG,predicted_CA,actual_CA,predicted_TT,actual_TT,predicted_TA,actual_TA,predicted_GG,actual_GG,predicted_AG,actual_AG,predicted_CC,actual_CC,predicted_GT,actual_GT,predicted_GA,actual_GA,predicted_AT,actual_AT,predicted_TC,actual_TC,predicted_AA,actual_AA,predicted_GC,actual_GC,predicted_AC,actual_AC
CP005964,0.064,0.063,0.055,0.062,0.06,0.068,0.064,0.074,0.07,0.069,0.07,0.062,0.052,0.045,0.061,0.06,0.059,0.049,0.06,0.059,0.061,0.055,0.07,0.067,0.064,0.06,0.07,0.069,0.055,0.076,0.064,0.063
HE804045,0.05,0.045,0.13,0.161,0.05,0.056,0.05,0.056,0.019,0.017,0.019,0.009,0.13,0.094,0.05,0.046,0.13,0.094,0.05,0.065,0.05,0.063,0.019,0.017,0.05,0.063,0.019,0.017,0.13,0.135,0.05,0.064
CP001726,0.058,0.054,0.103,0.138,0.058,0.06,0.057,0.06,0.032,0.031,0.032,0.019,0.103,0.068,0.057,0.054,0.103,0.067,0.058,0.055,0.057,0.071,0.032,0.04,0.058,0.071,0.032,0.031,0.103,0.126,0.057,0.055
FR872580,0.06,0.062,0.038,0.036,0.059,0.069,0.059,0.07,0.093,0.091,0.093,0.064,0.038,0.037,0.059,0.062,0.038,0.037,0.059,0.046,0.059,0.07,0.093,0.096,0.06,0.07,0.093,0.091,0.038,0.052,0.059,0.046
CP000422,0.059,0.057,0.035,0.037,0.059,0.066,0.058,0.066,0.098,0.093,0.098,0.085,0.035,0.035,0.058,0.057,0.035,0.035,0.059,0.055,0.058,0.062,0.098,0.1,0.059,0.061,0.098,0.092,0.035,0.042,0.058,0.056
CP001819,0.051,0.054,0.129,0.163,0.051,0.051,0.05,0.05,0.02,0.012,0.02,0.008,0.13,0.087,0.05,0.053,0.129,0.086,0.051,0.064,0.05,0.077,0.02,0.018,0.051,0.077,0.02,0.011,0.129,0.127,0.05,0.063
CP008803,0.06,0.055,0.086,0.091,0.062,0.07,0.06,0.067,0.043,0.046,0.043,0.02,0.088,0.08,0.061,0.056,0.084,0.078,0.062,0.054,0.061,0.072,0.043,0.052,0.06,0.071,0.042,0.045,0.086,0.09,0.06,0.052
CP006958,0.055,0.049,0.114,0.137,0.055,0.067,0.055,0.067,0.026,0.027,0.026,0.014,0.113,0.082,0.055,0.048,0.115,0.082,0.055,0.05,0.055,0.056,0.026,0.038,0.055,0.057,0.026,0.027,0.114,0.147,0.055,0.05
CP002018,0.059,0.048,0.095,0.121,0.059,0.07,0.059,0.071,0.036,0.036,0.037,0.021,0.095,0.069,0.059,0.048,0.096,0.07,0.059,0.045,0.059,0.064,0.037,0.061,0.059,0.063,0.037,0.036,0.095,0.13,0.059,0.046
CP001634,0.061,0.065,0.043,0.042,0.062,0.065,0.06,0.064,0.087,0.083,0.085,0.064,0.044,0.044,0.06,0.066,0.043,0.043,0.062,0.054,0.06,0.075,0.085,0.086,0.061,0.075,0.084,0.08,0.043,0.044,0.06,0.052
CP000875,0.063,0.053,0.064,0.069,0.063,0.082,0.062,0.08,0.061,0.064,0.061,0.043,0.065,0.054,0.062,0.053,0.064,0.053,0.063,0.05,0.062,0.055,0.061,0.076,0.063,0.054,0.06,0.064,0.064,0.099,0.062,0.05
FP929045,0.058,0.063,0.077,0.082,0.058,0.074,0.059,0.072,0.044,0.042,0.045,0.03,0.079,0.068,0.06,0.064,0.076,0.066,0.058,0.052,0.06,0.069,0.045,0.055,0.058,0.066,0.046,0.045,0.077,0.099,0.059,0.053
CP000930,0.062,0.06,0.081,0.091,0.061,0.065,0.061,0.065,0.047,0.047,0.046,0.028,0.08,0.07,0.061,0.059,0.082,0.071,0.061,0.051,0.061,0.073,0.046,0.056,0.062,0.074,0.046,0.047,0.081,0.091,0.061,0.051
FM178379,0.059,0.057,0.038,0.042,0.061,0.072,0.058,0.068,0.093,0.085,0.092,0.08,0.04,0.035,0.061,0.059,0.037,0.033,0.061,0.06,0.061,0.062,0.092,0.095,0.059,0.06,0.092,0.084,0.038,0.051,0.058,0.056
CP006734,0.054,0.054,0.117,0.15,0.054,0.053,0.054,0.053,0.025,0.021,0.025,0.011,0.116,0.081,0.054,0.054,0.117,0.081,0.054,0.056,0.054,0.077,0.025,0.031,0.054,0.078,0.025,0.021,0.117,0.123,0.054,0.057
AP009380,0.062,0.064,0.058,0.065,0.062,0.066,0.063,0.067,0.066,0.058,0.067,0.054,0.058,0.05,0.062,0.064,0.059,0.051,0.062,0.053,0.062,0.076,0.067,0.079,0.062,0.076,0.067,0.058,0.058,0.066,0.063,0.053
AP012554,0.053,0.051,0.023,0.026,0.054,0.063,0.052,0.062,0.121,0.101,0.121,0.124,0.024,0.023,0.053,0.052,0.023,0.022,0.054,0.054,0.053,0.051,0.121,0.132,0.053,0.05,0.12,0.1,0.023,0.036,0.052,0.052
AE017282,0.058,0.053,0.101,0.12,0.058,0.063,0.058,0.063,0.033,0.033,0.033,0.016,0.1,0.08,0.058,0.053,0.102,0.081,0.058,0.052,0.058,0.071,0.033,0.045,0.058,0.071,0.033,0.033,0.101,0.113,0.058,0.052
CP000910,0.062,0.06,0.079,0.092,0.061,0.069,0.062,0.071,0.048,0.049,0.048,0.03,0.078,0.061,0.061,0.06,0.08,0.063,0.061,0.055,0.061,0.065,0.048,0.052,0.062,0.067,0.048,0.05,0.079,0.101,0.062,0.056
CP006597,0.06,0.058,0.036,0.043,0.058,0.065,0.059,0.067,0.096,0.092,0.096,0.079,0.035,0.033,0.058,0.057,0.037,0.034,0.058,0.055,0.058,0.061,0.096,0.095,0.06,0.063,0.096,0.092,0.036,0.05,0.059,0.055
CP003280,0.058,0.056,0.033,0.036,0.057,0.065,0.058,0.066,0.102,0.102,0.102,0.08,0.032,0.035,0.057,0.056,0.033,0.036,0.057,0.052,0.057,0.06,0.102,0.097,0.058,0.06,0.102,0.102,0.033,0.045,0.058,0.052
CP007447,0.056,0.053,0.027,0.027,0.055,0.07,0.055,0.069,0.115,0.098,0.113,0.103,0.027,0.024,0.054,0.052,0.027,0.025,0.055,0.057,0.054,0.056,0.113,0.121,0.056,0.058,0.111,0.096,0.027,0.036,0.055,0.056
CP007152,0.06,0.056,0.081,0.083,0.065,0.08,0.058,0.07,0.048,0.046,0.046,0.029,0.088,0.074,0.062,0.058,0.076,0.066,0.065,0.063,0.062,0.067,0.046,0.054,0.06,0.064,0.044,0.043,0.081,0.091,0.058,0.054
CP000414,0.058,0.053,0.036,0.035,0.059,0.077,0.058,0.075,0.097,0.089,0.097,0.081,0.036,0.033,0.059,0.054,0.035,0.032,0.059,0.059,0.059,0.058,0.097,0.102,0.058,0.056,0.097,0.088,0.036,0.048,0.058,0.058
CP006939,0.062,0.061,0.067,0.062,0.062,0.07,0.063,0.071,0.058,0.055,0.058,0.039,0.067,0.066,0.063,0.061,0.067,0.066,0.062,0.049,0.063,0.076,0.058,0.075,0.062,0.076,0.058,0.056,0.067,0.069,0.063,0.049
BA000026,0.048,0.058,0.017,0.002,0.048,0.063,0.048,0.062,0.139,0.123,0.138,0.121,0.017,0.017,0.048,0.058,0.017,0.018,0.048,0.048,0.048,0.054,0.138,0.132,0.048,0.054,0.137,0.122,0.017,0.021,0.048,0.047
FP929032,0.057,0.051,0.078,0.115,0.058,0.059,0.057,0.057,0.043,0.046,0.042,0.032,0.079,0.065,0.058,0.052,0.077,0.064,0.058,0.058,0.058,0.074,0.042,0.055,0.057,0.073,0.042,0.046,0.078,0.094,0.057,0.057
CP007451,0.06,0.05,0.043,0.054,0.06,0.067,0.061,0.068,0.085,0.088,0.086,0.068,0.043,0.045,0.061,0.051,0.043,0.045,0.06,0.057,0.061,0.059,0.086,0.087,0.06,0.059,0.087,0.089,0.043,0.056,0.061,0.057
CP003557,0.061,0.051,0.043,0.075,0.061,0.051,0.061,0.051,0.087,0.088,0.086,0.072,0.043,0.039,0.06,0.051,0.043,0.04,0.061,0.05,0.06,0.073,0.086,0.096,0.061,0.073,0.085,0.088,0.043,0.054,0.061,0.049
CP001643,0.05,0.054,0.13,0.155,0.05,0.054,0.05,0.054,0.02,0.012,0.02,0.007,0.13,0.091,0.05,0.055,0.129,0.09,0.05,0.052,0.05,0.072,0.02,0.027,0.05,0.072,0.02,0.012,0.13,0.139,0.05,0.052
CP001706,0.061,0.053,0.085,0.089,0.061,0.082,0.061,0.082,0.043,0.041,0.043,0.02,0.085,0.066,0.061,0.052,0.086,0.066,0.061,0.073,0.061,0.067,0.043,0.044,0.061,0.067,0.043,0.041,0.085,0.083,0.061,0.074
AP012057,0.055,0.045,0.113,0.162,0.055,0.054,0.055,0.054,0.027,0.021,0.027,0.008,0.114,0.071,0.055,0.047,0.113,0.071,0.055,0.068,0.055,0.085,0.027,0.032,0.055,0.084,0.027,0.022,0.113,0.11,0.055,0.068
AP007255,0.057,0.053,0.106,0.113,0.056,0.067,0.057,0.067,0.03,0.03,0.03,0.015,0.105,0.088,0.057,0.052,0.107,0.089,0.056,0.047,0.057,0.066,0.03,0.047,0.057,0.066,0.031,0.031,0.106,0.119,0.057,0.049
CP002038,0.062,0.051,0.079,0.099,0.061,0.072,0.062,0.072,0.048,0.047,0.048,0.037,0.079,0.063,0.061,0.051,0.08,0.064,0.061,0.057,0.061,0.06,0.048,0.061,0.062,0.06,0.048,0.046,0.079,0.104,0.062,0.057
AP006628,0.05,0.052,0.019,0.015,0.049,0.059,0.051,0.06,0.128,0.128,0.13,0.107,0.019,0.025,0.05,0.052,0.019,0.026,0.049,0.046,0.05,0.053,0.13,0.119,0.05,0.051,0.133,0.131,0.019,0.027,0.051,0.048
CP001614,0.062,0.056,0.065,0.078,0.062,0.072,0.063,0.072,0.06,0.06,0.06,0.05,0.065,0.053,0.063,0.056,0.065,0.053,0.062,0.059,0.063,0.059,0.06,0.065,0.062,0.059,0.06,0.06,0.065,0.089,0.063,0.059
HG530068,0.05,0.059,0.096,0.123,0.049,0.063,0.051,0.065,0.026,0.028,0.026,0.017,0.095,0.079,0.05,0.059,0.098,0.081,0.049,0.049,0.05,0.064,0.026,0.035,0.05,0.064,0.026,0.029,0.096,0.132,0.051,0.051
CP011301,0.055,0.043,0.112,0.18,0.055,0.053,0.055,0.053,0.027,0.027,0.027,0.014,0.112,0.06,0.055,0.043,0.112,0.06,0.055,0.054,0.055,0.072,0.027,0.041,0.055,0.072,0.027,0.026,0.112,0.149,0.055,0.055
CP000510,0.06,0.057,0.04,0.042,0.06,0.07,0.06,0.07,0.09,0.084,0.09,0.082,0.04,0.039,0.06,0.058,0.04,0.039,0.06,0.054,0.06,0.056,0.09,0.096,0.06,0.055,0.09,0.084,0.04,0.06,0.06,0.054
CP000140,0.061,0.057,0.051,0.064,0.062,0.058,0.062,0.058,0.075,0.067,0.075,0.072,0.051,0.051,0.063,0.058,0.05,0.05,0.062,0.054,0.063,0.073,0.075,0.092,0.061,0.072,0.076,0.068,0.051,0.053,0.062,0.055
CP002690,0.054,0.067,0.029,0.018,0.056,0.061,0.056,0.061,0.106,0.098,0.109,0.096,0.03,0.033,0.058,0.07,0.028,0.03,0.056,0.046,0.058,0.065,0.109,0.105,0.054,0.061,0.112,0.102,0.029,0.039,0.056,0.047
CP008788,0.062,0.056,0.078,0.099,0.062,0.066,0.062,0.066,0.048,0.048,0.049,0.042,0.078,0.062,0.062,0.057,0.078,0.062,0.062,0.051,0.062,0.062,0.049,0.062,0.062,0.061,0.049,0.047,0.078,0.109,0.062,0.051
AP011529,0.054,0.062,0.024,0.012,0.054,0.065,0.053,0.064,0.119,0.105,0.119,0.108,0.024,0.028,0.054,0.062,0.024,0.028,0.054,0.048,0.054,0.057,0.119,0.12,0.054,0.057,0.118,0.104,0.024,0.033,0.053,0.047
CP002106,0.057,0.061,0.105,0.118,0.058,0.065,0.056,0.063,0.032,0.025,0.031,0.018,0.106,0.077,0.057,0.061,0.103,0.075,0.058,0.058,0.057,0.075,0.031,0.038,0.057,0.074,0.031,0.024,0.105,0.111,0.056,0.056
CP000750,0.048,0.049,0.139,0.164,0.048,0.051,0.047,0.05,0.016,0.012,0.016,0.007,0.14,0.102,0.048,0.05,0.137,0.1,0.048,0.06,0.048,0.066,0.016,0.014,0.048,0.065,0.016,0.012,0.139,0.14,0.047,0.059
LN614827,0.06,0.063,0.037,0.032,0.058,0.067,0.06,0.069,0.095,0.086,0.095,0.087,0.036,0.035,0.058,0.062,0.038,0.037,0.058,0.05,0.058,0.059,0.095,0.102,0.06,0.06,0.096,0.086,0.037,0.052,0.06,0.052
AP012978,0.057,0.056,0.106,0.116,0.057,0.07,0.057,0.07,0.031,0.027,0.031,0.016,0.105,0.08,0.057,0.056,0.106,0.08,0.057,0.054,0.057,0.065,0.031,0.041,0.057,0.066,0.03,0.027,0.106,0.122,0.057,0.054
CP002628,0.06,0.059,0.091,0.122,0.06,0.062,0.06,0.062,0.039,0.031,0.039,0.021,0.091,0.059,0.06,0.058,0.091,0.058,0.06,0.049,0.06,0.085,0.039,0.06,0.06,0.084,0.039,0.032,0.091,0.108,0.06,0.05
CP000245,0.052,0.055,0.122,0.134,0.052,0.069,0.053,0.069,0.022,0.021,0.023,0.01,0.122,0.088,0.053,0.056,0.123,0.088,0.052,0.049,0.053,0.054,0.023,0.028,0.052,0.054,0.023,0.021,0.122,0.156,0.053,0.049
CP003255,0.061,0.051,0.092,0.127,0.06,0.058,0.06,0.059,0.04,0.041,0.039,0.021,0.089,0.065,0.058,0.05,0.094,0.069,0.06,0.051,0.058,0.075,0.039,0.056,0.061,0.078,0.038,0.039,0.092,0.109,0.06,0.05
CP002444,0.064,0.085,0.068,0.059,0.063,0.051,0.062,0.051,0.059,0.064,0.057,0.054,0.067,0.067,0.061,0.082,0.069,0.068,0.063,0.056,0.061,0.07,0.057,0.037,0.064,0.072,0.056,0.061,0.068,0.066,0.062,0.056
CP000316,0.058,0.055,0.098,0.105,0.058,0.077,0.059,0.078,0.035,0.036,0.035,0.017,0.098,0.075,0.059,0.056,0.097,0.075,0.058,0.052,0.059,0.057,0.035,0.043,0.058,0.056,0.035,0.036,0.098,0.129,0.059,0.053
CP001854,0.05,0.052,0.132,0.19,0.05,0.045,0.049,0.044,0.019,0.013,0.019,0.008,0.133,0.075,0.05,0.051,0.132,0.074,0.05,0.053,0.05,0.074,0.019,0.022,0.05,0.074,0.018,0.013,0.132,0.158,0.049,0.053
CP002281,0.057,0.073,0.03,0.015,0.057,0.059,0.056,0.059,0.108,0.092,0.107,0.1,0.03,0.035,0.056,0.072,0.03,0.035,0.057,0.048,0.056,0.067,0.107,0.107,0.057,0.068,0.106,0.09,0.03,0.032,0.056,0.047
AP010953,0.062,0.054,0.064,0.077,0.062,0.074,0.062,0.074,0.061,0.058,0.061,0.048,0.064,0.053,0.062,0.055,0.064,0.053,0.062,0.058,0.062,0.061,0.061,0.071,0.062,0.061,0.061,0.058,0.064,0.086,0.062,0.059
CP000879,0.056,0.063,0.029,0.023,0.056,0.06,0.057,0.06,0.108,0.1,0.108,0.093,0.029,0.034,0.056,0.063,0.029,0.034,0.056,0.049,0.056,0.066,0.108,0.106,0.056,0.066,0.109,0.102,0.029,0.03,0.057,0.05
AP013105,0.058,0.057,0.101,0.122,0.058,0.062,0.058,0.062,0.034,0.033,0.033,0.02,0.101,0.074,0.058,0.057,0.1,0.073,0.058,0.053,0.058,0.069,0.033,0.042,0.058,0.07,0.033,0.032,0.101,0.119,0.058,0.052
CP002452,0.062,0.064,0.073,0.079,0.062,0.061,0.062,0.061,0.053,0.05,0.053,0.035,0.073,0.066,0.063,0.065,0.072,0.066,0.062,0.047,0.063,0.083,0.053,0.067,0.062,0.082,0.054,0.051,0.073,0.075,0.062,0.047
CP002901,0.061,0.044,0.081,0.102,0.061,0.061,0.062,0.063,0.046,0.05,0.047,0.037,0.08,0.076,0.061,0.044,0.081,0.077,0.061,0.057,0.061,0.066,0.047,0.065,0.061,0.067,0.047,0.051,0.081,0.084,0.062,0.057
CP001100,0.062,0.052,0.051,0.073,0.062,0.069,0.062,0.07,0.076,0.083,0.076,0.045,0.051,0.043,0.062,0.052,0.051,0.043,0.062,0.048,0.062,0.065,0.076,0.08,0.062,0.065,0.075,0.083,0.051,0.081,0.062,0.048
AP010904,0.058,0.053,0.099,0.109,0.058,0.064,0.058,0.065,0.035,0.04,0.035,0.021,0.098,0.087,0.058,0.054,0.099,0.087,0.058,0.05,0.058,0.061,0.035,0.043,0.058,0.062,0.035,0.04,0.099,0.116,0.058,0.05
FO538765,0.06,0.051,0.088,0.097,0.06,0.07,0.06,0.069,0.041,0.043,0.041,0.022,0.088,0.08,0.06,0.05,0.089,0.08,0.06,0.05,0.06,0.07,0.041,0.06,0.06,0.07,0.041,0.042,0.088,0.097,0.06,0.051
CP007030,0.062,0.056,0.053,0.057,0.063,0.077,0.062,0.075,0.074,0.072,0.073,0.062,0.053,0.047,0.062,0.056,0.052,0.047,0.063,0.058,0.062,0.054,0.073,0.079,0.062,0.054,0.073,0.071,0.053,0.078,0.062,0.057
CP001737,0.052,0.046,0.126,0.148,0.052,0.058,0.051,0.058,0.021,0.017,0.021,0.009,0.126,0.097,0.052,0.046,0.125,0.097,0.052,0.06,0.052,0.066,0.021,0.028,0.052,0.066,0.021,0.017,0.126,0.126,0.051,0.059
AP009153,0.057,0.047,0.103,0.129,0.057,0.072,0.058,0.073,0.032,0.027,0.032,0.014,0.103,0.07,0.058,0.047,0.104,0.071,0.057,0.062,0.058,0.067,0.032,0.044,0.057,0.067,0.032,0.027,0.103,0.119,0.058,0.063
HE999757,0.057,0.061,0.03,0.027,0.056,0.066,0.057,0.066,0.109,0.101,0.107,0.09,0.029,0.029,0.056,0.059,0.03,0.031,0.056,0.052,0.056,0.06,0.107,0.104,0.057,0.062,0.106,0.1,0.03,0.04,0.057,0.052
CP006949,0.062,0.064,0.055,0.046,0.062,0.068,0.062,0.07,0.07,0.065,0.07,0.072,0.055,0.059,0.063,0.065,0.055,0.059,0.062,0.054,0.063,0.055,0.07,0.078,0.062,0.055,0.071,0.065,0.055,0.071,0.062,0.054
AP014624,0.058,0.063,0.032,0.023,0.057,0.065,0.058,0.067,0.103,0.094,0.104,0.085,0.031,0.036,0.057,0.062,0.032,0.036,0.057,0.047,0.057,0.067,0.104,0.108,0.058,0.068,0.104,0.095,0.032,0.037,0.058,0.048
CP001275,0.058,0.058,0.101,0.129,0.058,0.059,0.058,0.059,0.033,0.028,0.033,0.016,0.102,0.069,0.058,0.059,0.101,0.069,0.058,0.057,0.058,0.082,0.033,0.041,0.058,0.082,0.033,0.027,0.101,0.108,0.058,0.056
CP004348,0.062,0.066,0.053,0.047,0.062,0.077,0.062,0.077,0.073,0.069,0.073,0.056,0.053,0.045,0.062,0.066,0.053,0.046,0.062,0.051,0.062,0.062,0.073,0.079,0.062,0.062,0.072,0.068,0.053,0.077,0.062,0.051
CP002273,0.063,0.061,0.056,0.055,0.062,0.071,0.063,0.072,0.069,0.066,0.069,0.053,0.055,0.055,0.062,0.06,0.057,0.057,0.062,0.051,0.062,0.064,0.069,0.078,0.063,0.066,0.068,0.066,0.056,0.073,0.063,0.051
CP002623,0.061,0.05,0.082,0.098,0.061,0.077,0.061,0.077,0.046,0.046,0.046,0.023,0.082,0.063,0.061,0.05,0.082,0.063,0.061,0.054,0.061,0.066,0.046,0.062,0.061,0.066,0.046,0.046,0.082,0.105,0.061,0.055
BX908798,0.057,0.063,0.03,0.027,0.057,0.064,0.056,0.063,0.107,0.104,0.107,0.083,0.03,0.031,0.057,0.063,0.03,0.03,0.057,0.045,0.057,0.066,0.107,0.104,0.057,0.066,0.106,0.103,0.03,0.043,0.056,0.045
CP003198,0.062,0.065,0.058,0.056,0.062,0.065,0.063,0.066,0.066,0.064,0.068,0.059,0.057,0.056,0.063,0.066,0.058,0.057,0.062,0.049,0.063,0.068,0.068,0.077,0.062,0.067,0.069,0.066,0.058,0.07,0.063,0.05
CP008804,0.061,0.053,0.043,0.036,0.061,0.086,0.061,0.086,0.086,0.077,0.086,0.068,0.043,0.04,0.06,0.053,0.043,0.041,0.061,0.054,0.06,0.054,0.086,0.101,0.061,0.053,0.086,0.077,0.043,0.067,0.061,0.055
CP002859,0.062,0.051,0.054,0.067,0.062,0.068,0.062,0.068,0.071,0.073,0.071,0.056,0.054,0.053,0.062,0.051,0.055,0.054,0.062,0.058,0.062,0.062,0.071,0.077,0.062,0.062,0.072,0.074,0.054,0.067,0.062,0.058
FP929054,0.05,0.052,0.043,0.043,0.061,0.078,0.057,0.071,0.071,0.066,0.08,0.06,0.052,0.049,0.068,0.07,0.036,0.035,0.061,0.054,0.068,0.085,0.08,0.094,0.05,0.062,0.089,0.077,0.043,0.052,0.057,0.052
CP002361,0.052,0.06,0.123,0.141,0.053,0.053,0.052,0.053,0.022,0.024,0.022,0.015,0.123,0.092,0.052,0.059,0.123,0.091,0.053,0.05,0.052,0.064,0.022,0.022,0.052,0.063,0.022,0.023,0.123,0.14,0.052,0.05
CP003989,0.056,0.052,0.111,0.136,0.055,0.061,0.056,0.063,0.028,0.026,0.028,0.015,0.109,0.079,0.056,0.051,0.112,0.081,0.055,0.054,0.056,0.068,0.028,0.039,0.056,0.069,0.028,0.026,0.111,0.126,0.056,0.055
CP006772,0.061,0.067,0.043,0.033,0.061,0.071,0.061,0.071,0.086,0.075,0.086,0.069,0.043,0.043,0.061,0.067,0.043,0.042,0.061,0.053,0.061,0.071,0.086,0.092,0.061,0.072,0.086,0.075,0.043,0.046,0.061,0.053
AP012027,0.058,0.052,0.033,0.037,0.058,0.071,0.058,0.071,0.101,0.091,0.101,0.081,0.033,0.031,0.058,0.051,0.034,0.031,0.058,0.058,0.058,0.066,0.101,0.109,0.058,0.066,0.1,0.09,0.033,0.036,0.058,0.058
CP002224,0.059,0.048,0.095,0.121,0.059,0.071,0.059,0.07,0.037,0.036,0.037,0.021,0.095,0.07,0.059,0.048,0.095,0.07,0.059,0.046,0.059,0.064,0.037,0.061,0.059,0.063,0.037,0.036,0.095,0.13,0.059,0.046
CP001721,0.062,0.072,0.052,0.046,0.062,0.076,0.062,0.075,0.074,0.068,0.074,0.058,0.053,0.041,0.062,0.072,0.052,0.04,0.062,0.058,0.062,0.066,0.074,0.069,0.062,0.065,0.073,0.067,0.052,0.07,0.062,0.058
CP002048,0.063,0.067,0.065,0.063,0.063,0.063,0.062,0.064,0.06,0.059,0.06,0.053,0.065,0.063,0.062,0.067,0.065,0.063,0.063,0.058,0.062,0.067,0.06,0.06,0.063,0.068,0.06,0.058,0.065,0.068,0.062,0.057
CP003659,0.059,0.064,0.038,0.03,0.059,0.07,0.059,0.07,0.093,0.086,0.094,0.083,0.038,0.038,0.06,0.064,0.038,0.038,0.059,0.056,0.06,0.06,0.094,0.094,0.059,0.06,0.094,0.086,0.038,0.047,0.059,0.056
CP000976,0.051,0.059,0.019,0.008,0.05,0.06,0.05,0.06,0.133,0.118,0.131,0.117,0.019,0.022,0.049,0.057,0.019,0.023,0.05,0.043,0.049,0.057,0.131,0.135,0.051,0.059,0.129,0.115,0.019,0.025,0.05,0.043
CP010327,0.058,0.075,0.029,0.02,0.056,0.058,0.056,0.058,0.111,0.088,0.109,0.115,0.028,0.026,0.055,0.071,0.03,0.027,0.056,0.056,0.055,0.061,0.109,0.107,0.058,0.064,0.106,0.085,0.029,0.033,0.056,0.055
CP002930,0.062,0.059,0.062,0.065,0.063,0.077,0.062,0.076,0.063,0.065,0.063,0.032,0.063,0.055,0.063,0.059,0.062,0.055,0.063,0.057,0.063,0.072,0.063,0.065,0.062,0.071,0.062,0.064,0.062,0.072,0.062,0.056
CP003788,0.053,0.051,0.121,0.14,0.053,0.052,0.053,0.053,0.023,0.019,0.023,0.011,0.121,0.097,0.053,0.052,0.121,0.097,0.053,0.063,0.053,0.077,0.023,0.025,0.053,0.076,0.023,0.019,0.121,0.105,0.053,0.063
CP010848,0.059,0.056,0.095,0.12,0.059,0.062,0.06,0.063,0.036,0.033,0.037,0.023,0.094,0.067,0.06,0.058,0.095,0.067,0.059,0.06,0.06,0.076,0.037,0.043,0.059,0.075,0.038,0.034,0.095,0.104,0.06,0.061
LK028559,0.054,0.055,0.024,0.017,0.053,0.068,0.054,0.069,0.117,0.099,0.118,0.106,0.024,0.026,0.054,0.055,0.025,0.026,0.053,0.053,0.054,0.061,0.118,0.126,0.054,0.061,0.119,0.1,0.024,0.026,0.054,0.054
AP008955,0.062,0.061,0.056,0.061,0.062,0.073,0.062,0.073,0.07,0.065,0.07,0.048,0.056,0.047,0.062,0.061,0.056,0.047,0.062,0.055,0.062,0.072,0.07,0.076,0.062,0.073,0.069,0.065,0.056,0.067,0.062,0.055
CP001998,0.062,0.06,0.072,0.08,0.063,0.074,0.061,0.073,0.054,0.051,0.054,0.033,0.073,0.056,0.062,0.061,0.071,0.055,0.063,0.059,0.062,0.073,0.054,0.061,0.062,0.073,0.053,0.05,0.072,0.083,0.061,0.057
CP003360,0.062,0.062,0.063,0.069,0.063,0.069,0.062,0.068,0.062,0.059,0.062,0.039,0.063,0.055,0.063,0.062,0.063,0.055,0.063,0.054,0.063,0.08,0.062,0.072,0.062,0.08,0.062,0.059,0.063,0.065,0.062,0.053
CP002422,0.062,0.046,0.066,0.093,0.063,0.069,0.062,0.067,0.059,0.065,0.059,0.041,0.067,0.059,0.063,0.047,0.065,0.058,0.063,0.057,0.063,0.061,0.059,0.066,0.062,0.059,0.059,0.066,0.066,0.091,0.062,0.056
AP012334,0.063,0.07,0.059,0.043,0.062,0.074,0.063,0.075,0.065,0.059,0.066,0.05,0.058,0.056,0.062,0.07,0.06,0.058,0.062,0.049,0.062,0.071,0.066,0.076,0.063,0.071,0.067,0.06,0.059,0.068,0.063,0.05
CP004372,0.056,0.046,0.108,0.135,0.056,0.064,0.057,0.064,0.029,0.028,0.029,0.013,0.108,0.081,0.057,0.047,0.108,0.081,0.056,0.049,0.057,0.069,0.029,0.049,0.056,0.068,0.03,0.029,0.108,0.128,0.057,0.05
AP014521,0.046,0.047,0.016,0.016,0.047,0.055,0.047,0.054,0.139,0.124,0.14,0.132,0.016,0.02,0.048,0.049,0.015,0.019,0.047,0.044,0.048,0.051,0.14,0.145,0.046,0.05,0.142,0.125,0.016,0.024,0.047,0.044
CP003264,0.058,0.065,0.035,0.027,0.059,0.068,0.058,0.067,0.098,0.086,0.098,0.091,0.035,0.035,0.059,0.066,0.034,0.034,0.059,0.053,0.059,0.062,0.098,0.101,0.058,0.061,0.099,0.086,0.035,0.046,0.058,0.053
CP000448,0.062,0.065,0.05,0.041,0.061,0.064,0.062,0.066,0.076,0.072,0.076,0.074,0.05,0.056,0.061,0.065,0.051,0.058,0.061,0.047,0.061,0.06,0.076,0.088,0.062,0.061,0.076,0.072,0.05,0.063,0.062,0.048
CP002547,0.063,0.061,0.054,0.053,0.062,0.067,0.062,0.068,0.072,0.071,0.072,0.053,0.053,0.055,0.062,0.06,0.054,0.057,0.062,0.046,0.062,0.071,0.072,0.084,0.063,0.072,0.072,0.071,0.054,0.064,0.062,0.047
CP001804,0.053,0.054,0.121,0.158,0.053,0.057,0.053,0.057,0.023,0.019,0.023,0.013,0.121,0.075,0.053,0.055,0.121,0.076,0.053,0.05,0.053,0.066,0.023,0.031,0.053,0.065,0.023,0.02,0.121,0.154,0.053,0.05
CP001279,0.056,0.058,0.028,0.034,0.056,0.059,0.055,0.057,0.111,0.106,0.111,0.097,0.028,0.031,0.056,0.057,0.028,0.03,0.056,0.051,0.056,0.06,0.111,0.107,0.056,0.059,0.11,0.105,0.028,0.039,0.055,0.051
