accession,tot_UTRs,tot_seq,num_of_tag_coding,num_of_tga_coding,num_of_taa_coding,total_number_of_ASC_coding,frequency_tag_coding,frequency_tga_coding,frequency_taa_coding,frequency_ASC_coding,tot_UTRs_OOF,tot_seq_OOF,num_of_tag_OOF,num_of_tga_OOF,num_of_taa_OOF,total_number_of_ASC_OOF,frequency_tag_OOF,frequency_tga_OOF,frequency_taa_OOF,frequency_ASC_OOF
CP003659,5701,102618,563,600,1024,2187,0.0165,0.0175,0.0299,0.0639,5701,102618,548,607,1123,2278,0.016,0.0177,0.0328,0.0666
CP000976,858,15444,59,79,237,375,0.0115,0.0153,0.046,0.0728,858,15444,50,76,249,375,0.0097,0.0148,0.0484,0.0728
CP010327,3791,68238,394,331,1116,1841,0.0173,0.0146,0.0491,0.0809,3791,68238,413,372,1046,1831,0.0182,0.0164,0.046,0.0805
CP002930,3779,68022,212,438,339,989,0.0093,0.0193,0.015,0.0436,3779,68022,203,408,367,978,0.009,0.018,0.0162,0.0431
CP003788,5608,100944,79,273,36,388,0.0023,0.0081,0.0011,0.0115,5608,100944,116,280,52,448,0.0034,0.0083,0.0015,0.0133
CP010848,2118,38124,41,108,38,187,0.0032,0.0085,0.003,0.0147,2118,38124,80,148,50,278,0.0063,0.0116,0.0039,0.0219
LK028559,1471,26478,93,165,335,593,0.0105,0.0187,0.038,0.0672,1471,26478,118,128,326,572,0.0134,0.0145,0.0369,0.0648
AP008955,5949,107082,318,584,437,1339,0.0089,0.0164,0.0122,0.0375,5949,107082,330,522,466,1318,0.0092,0.0146,0.0131,0.0369
CP001998,3192,57456,257,395,220,872,0.0134,0.0206,0.0115,0.0455,3192,57456,267,369,222,858,0.0139,0.0193,0.0116,0.0448
CP003360,5639,101502,209,545,305,1059,0.0062,0.0161,0.009,0.0313,5639,101502,223,550,320,1093,0.0066,0.0163,0.0095,0.0323
CP002422,2094,37692,68,226,158,452,0.0054,0.018,0.0126,0.036,2094,37692,58,247,268,573,0.0046,0.0197,0.0213,0.0456
AP012334,1497,26946,97,148,137,382,0.0108,0.0165,0.0153,0.0425,1497,26946,94,159,171,424,0.0105,0.0177,0.019,0.0472
CP004372,3588,64584,48,227,35,310,0.0022,0.0105,0.0016,0.0144,3588,64584,63,230,51,344,0.0029,0.0107,0.0024,0.016
AP014521,614,11052,35,44,232,311,0.0095,0.0119,0.063,0.0844,614,11052,46,35,229,310,0.0125,0.0095,0.0622,0.0841
CP003264,1610,28980,148,166,359,673,0.0153,0.0172,0.0372,0.0697,1610,28980,132,152,372,656,0.0137,0.0157,0.0385,0.0679
CP000448,2642,47556,168,210,380,758,0.0106,0.0132,0.024,0.0478,2642,47556,127,202,377,706,0.008,0.0127,0.0238,0.0445
CP002547,3439,61902,111,357,342,810,0.0054,0.0173,0.0166,0.0393,3439,61902,120,346,354,820,0.0058,0.0168,0.0172,0.0397
CP001804,6952,125136,159,313,86,558,0.0038,0.0075,0.0021,0.0134,6952,125136,215,370,93,678,0.0052,0.0089,0.0022,0.0163
CP001279,1794,32292,97,164,395,656,0.009,0.0152,0.0367,0.0609,1794,32292,96,144,391,631,0.0089,0.0134,0.0363,0.0586
CP001629,3568,64224,82,308,157,547,0.0038,0.0144,0.0073,0.0256,3568,64224,87,354,151,592,0.0041,0.0165,0.0071,0.0277
CP002455,2181,39258,193,165,454,812,0.0147,0.0126,0.0347,0.0621,2181,39258,171,202,508,881,0.0131,0.0154,0.0388,0.0673
CP000038,4553,81954,268,453,462,1183,0.0098,0.0166,0.0169,0.0433,4553,81954,165,452,471,1088,0.006,0.0165,0.0172,0.0398
CP010311,3287,59166,54,294,138,486,0.0027,0.0149,0.007,0.0246,3287,59166,87,314,147,548,0.0044,0.0159,0.0075,0.0278
CP001280,3978,71604,101,268,97,466,0.0042,0.0112,0.0041,0.0195,3978,71604,102,255,101,458,0.0043,0.0107,0.0042,0.0192
CP011280,1298,23364,111,96,265,472,0.0143,0.0123,0.034,0.0606,1298,23364,101,83,277,461,0.013,0.0107,0.0356,0.0592
CP002156,2737,49266,93,216,79,388,0.0057,0.0132,0.0048,0.0236,2737,49266,98,173,80,351,0.006,0.0105,0.0049,0.0214
CP001146,1973,35514,145,211,426,782,0.0122,0.0178,0.036,0.0661,1973,35514,151,138,454,743,0.0128,0.0117,0.0384,0.0628
HF563609,2748,49464,175,263,552,990,0.0106,0.016,0.0335,0.06,2748,49464,168,230,474,872,0.0102,0.0139,0.0287,0.0529
FP475956,3685,66330,89,310,72,471,0.004,0.014,0.0033,0.0213,3685,66330,111,419,65,595,0.005,0.019,0.0029,0.0269
FQ859181,4969,89442,150,395,170,715,0.005,0.0132,0.0057,0.024,4969,89442,168,373,177,718,0.0056,0.0125,0.0059,0.0241
CP003985,3560,64080,206,401,413,1020,0.0096,0.0188,0.0193,0.0478,3560,64080,225,380,402,1007,0.0105,0.0178,0.0188,0.0471
AM743169,4430,79740,90,276,59,425,0.0034,0.0104,0.0022,0.016,4430,79740,155,298,59,512,0.0058,0.0112,0.0022,0.0193
CP002382,2476,44568,70,221,201,492,0.0047,0.0149,0.0135,0.0331,2476,44568,63,220,216,499,0.0042,0.0148,0.0145,0.0336
CP006569,4097,73746,172,370,343,885,0.007,0.0151,0.014,0.036,4097,73746,195,360,335,890,0.0079,0.0146,0.0136,0.0362
CP007051,1909,34362,153,142,391,686,0.0134,0.0124,0.0341,0.0599,1909,34362,118,114,412,644,0.0103,0.01,0.036,0.0562
CP001185,2043,36774,127,190,395,712,0.0104,0.0155,0.0322,0.0581,2043,36774,112,181,379,672,0.0091,0.0148,0.0309,0.0548
AP012050,2411,43398,193,287,495,975,0.0133,0.0198,0.0342,0.0674,2411,43398,187,257,557,1001,0.0129,0.0178,0.0385,0.0692
CP009761,1531,27558,99,122,359,580,0.0108,0.0133,0.0391,0.0631,1531,27558,88,115,386,589,0.0096,0.0125,0.042,0.0641
CP006617,1302,23436,126,103,188,417,0.0161,0.0132,0.0241,0.0534,1302,23436,139,123,175,437,0.0178,0.0157,0.0224,0.0559
CP003415,4804,86472,259,530,560,1349,0.009,0.0184,0.0194,0.0468,4804,86472,254,526,554,1334,0.0088,0.0182,0.0192,0.0463
CP000393,5124,92232,575,473,1045,2093,0.0187,0.0154,0.034,0.0681,5124,92232,590,483,1117,2190,0.0192,0.0157,0.0363,0.0712
CP003946,4654,83772,316,446,538,1300,0.0113,0.016,0.0193,0.0466,4654,83772,334,470,576,1380,0.012,0.0168,0.0206,0.0494
AP014583,3527,63486,365,386,1058,1809,0.0172,0.0182,0.05,0.0855,3527,63486,369,330,1121,1820,0.0174,0.0156,0.053,0.086
FM162591,4373,78714,310,530,803,1643,0.0118,0.0202,0.0306,0.0626,4373,78714,300,504,808,1612,0.0114,0.0192,0.0308,0.0614
CP000686,4682,84276,121,456,105,682,0.0043,0.0162,0.0037,0.0243,4682,84276,113,448,98,659,0.004,0.0159,0.0035,0.0235
CP002584,5340,96120,483,508,1143,2134,0.0151,0.0159,0.0357,0.0666,5340,96120,522,577,1181,2280,0.0163,0.018,0.0369,0.0712
AP012338,3203,57654,63,76,22,161,0.0033,0.004,0.0011,0.0084,3203,57654,50,96,20,166,0.0026,0.005,0.001,0.0086
AP012292,2826,50868,147,272,297,716,0.0087,0.016,0.0175,0.0422,2826,50868,132,275,357,764,0.0078,0.0162,0.0211,0.0451
CP003403,4541,81738,132,570,475,1177,0.0048,0.0209,0.0174,0.0432,4541,81738,152,553,501,1206,0.0056,0.0203,0.0184,0.0443
CP003546,963,17334,73,96,116,285,0.0126,0.0166,0.0201,0.0493,963,17334,95,100,132,327,0.0164,0.0173,0.0228,0.0566
CP007155,8878,159804,178,571,60,809,0.0033,0.0107,0.0011,0.0152,8878,159804,240,595,72,907,0.0045,0.0112,0.0014,0.017
CP002479,4600,82800,176,366,236,778,0.0064,0.0133,0.0086,0.0282,4600,82800,171,363,247,781,0.0062,0.0132,0.0089,0.0283
FP929062,2993,53874,119,320,284,723,0.0066,0.0178,0.0158,0.0403,2993,53874,123,332,294,749,0.0068,0.0185,0.0164,0.0417
AP012046,2555,45990,171,235,489,895,0.0112,0.0153,0.0319,0.0584,2555,45990,184,219,474,877,0.012,0.0143,0.0309,0.0572
CP000628,3852,69336,137,321,129,587,0.0059,0.0139,0.0056,0.0254,3852,69336,133,376,151,660,0.0058,0.0163,0.0065,0.0286
CP005996,2571,46278,217,249,570,1036,0.0141,0.0161,0.037,0.0672,2571,46278,242,265,596,1103,0.0157,0.0172,0.0386,0.0715
CP005094,5213,93834,132,312,85,529,0.0042,0.01,0.0027,0.0169,5213,93834,133,332,124,589,0.0043,0.0106,0.004,0.0188
CP002028,3082,55476,142,254,369,765,0.0077,0.0137,0.02,0.0414,3082,55476,132,210,428,770,0.0071,0.0114,0.0231,0.0416
AP011112,1894,34092,151,167,344,662,0.0133,0.0147,0.0303,0.0583,1894,34092,116,142,346,604,0.0102,0.0125,0.0304,0.0532
CP001080,1829,32922,124,165,411,700,0.0113,0.015,0.0375,0.0638,1829,32922,144,153,471,768,0.0131,0.0139,0.0429,0.07
CP010557,5075,91350,221,493,460,1174,0.0073,0.0162,0.0151,0.0386,5075,91350,220,479,501,1200,0.0072,0.0157,0.0165,0.0394
HF571988,4350,78300,301,548,635,1484,0.0115,0.021,0.0243,0.0569,4350,78300,288,497,632,1417,0.011,0.019,0.0242,0.0543
CP001429,622,11196,29,53,148,230,0.0078,0.0142,0.0397,0.0616,622,11196,33,63,164,260,0.0088,0.0169,0.0439,0.0697
CP003947,3539,63702,332,423,885,1640,0.0156,0.0199,0.0417,0.0772,3539,63702,345,420,930,1695,0.0162,0.0198,0.0438,0.0798
CP000238,651,11718,89,59,191,339,0.0228,0.0151,0.0489,0.0868,651,11718,84,58,186,328,0.0215,0.0148,0.0476,0.084
CP007142,6007,108126,266,818,610,1694,0.0074,0.0227,0.0169,0.047,6007,108126,249,748,605,1602,0.0069,0.0208,0.0168,0.0444
CP001096,5383,96894,108,410,78,596,0.0033,0.0127,0.0024,0.0185,5383,96894,147,414,98,659,0.0046,0.0128,0.003,0.0204
CP002593,6750,121500,90,289,22,401,0.0022,0.0071,0.0005,0.0099,6750,121500,127,313,33,473,0.0031,0.0077,0.0008,0.0117
CP003382,3824,68832,82,326,82,490,0.0036,0.0142,0.0036,0.0214,3824,68832,96,326,71,493,0.0042,0.0142,0.0031,0.0215
CP001700,9128,164304,212,638,95,945,0.0039,0.0116,0.0017,0.0173,9128,164304,292,713,128,1133,0.0053,0.013,0.0023,0.0207
CP000812,2110,37980,88,295,218,601,0.007,0.0233,0.0172,0.0475,2110,37980,84,230,243,557,0.0066,0.0182,0.0192,0.044
CP002985,3336,60048,122,254,161,537,0.0061,0.0127,0.008,0.0268,3336,60048,114,238,204,556,0.0057,0.0119,0.0102,0.0278
CP010812,3729,67122,223,435,424,1082,0.01,0.0194,0.019,0.0484,3729,67122,196,441,437,1074,0.0088,0.0197,0.0195,0.048
CP001184,692,12456,40,0,243,283,0.0096,0,0.0585,0.0682,692,12456,45,0,203,248,0.0108,0,0.0489,0.0597
FO117623,4844,87192,77,180,13,270,0.0026,0.0062,0.0004,0.0093,4844,87192,134,235,20,389,0.0046,0.0081,0.0007,0.0134
AP012051,1582,28476,105,132,340,577,0.0111,0.0139,0.0358,0.0608,1582,28476,104,136,290,530,0.011,0.0143,0.0306,0.0558
CP006704,5741,103338,223,606,154,983,0.0065,0.0176,0.0045,0.0285,5741,103338,215,596,162,973,0.0062,0.0173,0.0047,0.0282
CP003156,3563,64134,342,393,677,1412,0.016,0.0184,0.0317,0.066,3563,64134,356,378,747,1481,0.0167,0.0177,0.0349,0.0693
CP006587,4180,75240,355,363,265,983,0.0142,0.0145,0.0106,0.0392,4180,75240,433,475,345,1253,0.0173,0.0189,0.0138,0.05
CP000453,2940,52920,56,219,66,341,0.0032,0.0124,0.0037,0.0193,2940,52920,57,187,60,304,0.0032,0.0106,0.0034,0.0172
AP012495,7270,130860,421,767,922,2110,0.0097,0.0176,0.0211,0.0484,7270,130860,406,726,897,2029,0.0093,0.0166,0.0206,0.0465
CP001110,2979,53622,94,316,284,694,0.0053,0.0177,0.0159,0.0388,2979,53622,113,328,283,724,0.0063,0.0184,0.0158,0.0405
CP003984,3092,55656,143,282,201,626,0.0077,0.0152,0.0108,0.0337,3092,55656,130,288,251,669,0.007,0.0155,0.0135,0.0361
CP001055,1599,28782,70,104,453,627,0.0073,0.0108,0.0472,0.0654,1599,28782,72,81,438,591,0.0075,0.0084,0.0457,0.0616
CP003592,3703,66654,407,414,717,1538,0.0183,0.0186,0.0323,0.0692,3703,66654,421,388,690,1499,0.0189,0.0175,0.0311,0.0675
CP001686,2694,48492,26,143,7,176,0.0016,0.0088,0.0004,0.0109,2694,48492,56,183,11,250,0.0035,0.0113,0.0007,0.0155
CP002045,1885,33930,120,141,122,383,0.0106,0.0125,0.0108,0.0339,1885,33930,122,148,140,410,0.0108,0.0131,0.0124,0.0363
CP003879,3950,71100,347,358,907,1612,0.0146,0.0151,0.0383,0.068,3950,71100,360,391,1003,1754,0.0152,0.0165,0.0423,0.074
CP007139,4870,87660,305,336,231,872,0.0104,0.0115,0.0079,0.0298,4870,87660,308,326,265,899,0.0105,0.0112,0.0091,0.0308
CP001147,2089,37602,151,213,452,816,0.012,0.017,0.0361,0.0651,2089,37602,134,168,412,714,0.0107,0.0134,0.0329,0.057
CP004345,3624,65232,78,459,497,1034,0.0036,0.0211,0.0229,0.0476,3624,65232,90,399,489,978,0.0041,0.0183,0.0225,0.045
CP000613,4102,73836,44,189,20,253,0.0018,0.0077,0.0008,0.0103,4102,73836,41,206,40,287,0.0017,0.0084,0.0016,0.0117
CP001281,4066,73188,55,229,34,318,0.0023,0.0094,0.0014,0.013,4066,73188,54,252,45,351,0.0022,0.0103,0.0018,0.0144
CP003746,3887,69966,146,372,260,778,0.0063,0.016,0.0111,0.0334,3887,69966,165,380,331,876,0.0071,0.0163,0.0142,0.0376
CP004083,4363,78534,275,525,543,1343,0.0105,0.0201,0.0207,0.0513,4363,78534,325,467,574,1366,0.0124,0.0178,0.0219,0.0522
CP002157,3459,62262,298,386,809,1493,0.0144,0.0186,0.039,0.0719,3459,62262,308,339,860,1507,0.0148,0.0163,0.0414,0.0726
CP010310,5020,90360,79,337,69,485,0.0026,0.0112,0.0023,0.0161,5020,90360,100,425,122,647,0.0033,0.0141,0.0041,0.0215
CP002287,6532,117576,200,441,138,779,0.0051,0.0113,0.0035,0.0199,6532,117576,224,468,159,851,0.0057,0.0119,0.0041,0.0217
CU207366,3584,64512,345,378,936,1659,0.016,0.0176,0.0435,0.0771,3584,64512,341,431,880,1652,0.0159,0.02,0.0409,0.0768
CP002638,6013,108234,88,317,48,453,0.0024,0.0088,0.0013,0.0126,6013,108234,117,394,56,567,0.0032,0.0109,0.0016,0.0157
CP003183,2726,49068,57,303,112,472,0.0035,0.0185,0.0068,0.0289,2726,49068,57,269,117,443,0.0035,0.0164,0.0072,0.0271
AP012342,2421,43578,55,280,116,451,0.0038,0.0193,0.008,0.031,2421,43578,60,275,141,476,0.0041,0.0189,0.0097,0.0328
CP001628,2345,42210,27,99,3,129,0.0019,0.007,0.0002,0.0092,2345,42210,68,135,8,211,0.0048,0.0096,0.0006,0.015
CP002395,2409,43362,87,228,140,455,0.006,0.0158,0.0097,0.0315,2409,43362,108,184,165,457,0.0075,0.0127,0.0114,0.0316
CP001940,2733,49194,75,221,233,529,0.0046,0.0135,0.0142,0.0323,2733,49194,80,187,236,503,0.0049,0.0114,0.0144,0.0307
CP000828,6396,115128,520,760,685,1965,0.0136,0.0198,0.0178,0.0512,6396,115128,571,765,670,2006,0.0149,0.0199,0.0175,0.0523
CP002116,4363,78534,212,418,351,981,0.0081,0.016,0.0134,0.0375,4363,78534,230,391,335,956,0.0088,0.0149,0.0128,0.0365
CP002546,4865,87570,133,450,168,751,0.0046,0.0154,0.0058,0.0257,4865,87570,132,457,139,728,0.0045,0.0157,0.0048,0.0249
CP003642,6238,112284,577,647,966,2190,0.0154,0.0173,0.0258,0.0585,6238,112284,606,654,1060,2320,0.0162,0.0175,0.0283,0.062
CP000449,3133,56394,63,256,60,379,0.0034,0.0136,0.0032,0.0202,3133,56394,68,265,83,416,0.0036,0.0141,0.0044,0.0221
AP013066,2982,53676,131,332,261,724,0.0073,0.0186,0.0146,0.0405,2982,53676,177,319,285,781,0.0099,0.0178,0.0159,0.0437
AP009484,1959,35262,148,242,413,803,0.0126,0.0206,0.0351,0.0683,1959,35262,118,234,412,764,0.01,0.0199,0.0351,0.065
CP001034,3000,54000,249,287,608,1144,0.0138,0.0159,0.0338,0.0636,3000,54000,247,298,692,1237,0.0137,0.0166,0.0384,0.0687
AM999887,1384,24912,130,119,355,604,0.0157,0.0143,0.0428,0.0727,1384,24912,120,154,328,602,0.0145,0.0185,0.0395,0.0725
FP929038,2985,53730,180,421,401,1002,0.0101,0.0235,0.0224,0.0559,2985,53730,166,384,409,959,0.0093,0.0214,0.0228,0.0535
CP002835,4046,72828,146,370,344,860,0.006,0.0152,0.0142,0.0354,4046,72828,155,317,346,818,0.0064,0.0131,0.0143,0.0337
CP000388,4392,79056,359,484,687,1530,0.0136,0.0184,0.0261,0.0581,4392,79056,346,456,741,1543,0.0131,0.0173,0.0281,0.0586
CP001825,1937,34866,181,158,225,564,0.0156,0.0136,0.0194,0.0485,1937,34866,193,158,225,576,0.0166,0.0136,0.0194,0.0496
AP014648,3342,60156,134,228,93,455,0.0067,0.0114,0.0046,0.0227,3342,60156,125,242,99,466,0.0062,0.0121,0.0049,0.0232
CP002209,3947,71046,130,378,210,718,0.0055,0.016,0.0089,0.0303,3947,71046,127,355,236,718,0.0054,0.015,0.01,0.0303
CP003418,3245,58410,177,427,812,1416,0.0091,0.0219,0.0417,0.0727,3245,58410,153,402,831,1386,0.0079,0.0206,0.0427,0.0712
CP001560,4017,72306,149,393,407,949,0.0062,0.0163,0.0169,0.0394,4017,72306,119,391,365,875,0.0049,0.0162,0.0151,0.0363
CP001130,1694,30492,148,108,373,629,0.0146,0.0106,0.0367,0.0619,1694,30492,133,114,436,683,0.0131,0.0112,0.0429,0.0672
CP001999,3220,57960,278,271,882,1431,0.0144,0.014,0.0457,0.0741,3220,57960,233,225,927,1385,0.0121,0.0116,0.048,0.0717
CP002198,5664,101952,563,620,1138,2321,0.0166,0.0182,0.0335,0.0683,5664,101952,601,585,1193,2379,0.0177,0.0172,0.0351,0.07
CP003273,4755,85590,214,327,757,1298,0.0075,0.0115,0.0265,0.0455,4755,85590,261,335,748,1344,0.0091,0.0117,0.0262,0.0471
CP003789,1433,25794,93,145,345,583,0.0108,0.0169,0.0401,0.0678,1433,25794,88,128,317,533,0.0102,0.0149,0.0369,0.062
CP002874,2923,52614,189,218,1134,1541,0.0108,0.0124,0.0647,0.0879,2923,52614,203,208,1171,1582,0.0116,0.0119,0.0668,0.0902
CP000849,1511,27198,128,128,449,705,0.0141,0.0141,0.0495,0.0778,1511,27198,132,109,451,692,0.0146,0.012,0.0497,0.0763
CP001472,3497,62946,90,266,103,459,0.0043,0.0127,0.0049,0.0219,3497,62946,121,255,118,494,0.0058,0.0122,0.0056,0.0235
CP002049,3046,54828,177,145,88,410,0.0097,0.0079,0.0048,0.0224,3046,54828,219,163,121,503,0.012,0.0089,0.0066,0.0275
CP002360,3033,54594,165,237,415,817,0.0091,0.013,0.0228,0.0449,3033,54594,189,200,439,828,0.0104,0.011,0.0241,0.0455
CP006773,4189,75402,106,318,87,511,0.0042,0.0127,0.0035,0.0203,4189,75402,99,323,122,544,0.0039,0.0129,0.0049,0.0216
CP002858,2399,43182,112,255,460,827,0.0078,0.0177,0.032,0.0575,2399,43182,124,187,447,758,0.0086,0.013,0.0311,0.0527
CP001798,4015,72270,283,358,425,1066,0.0117,0.0149,0.0176,0.0443,4015,72270,314,346,421,1081,0.013,0.0144,0.0175,0.0449
CP001632,2255,40590,275,228,583,1086,0.0203,0.0169,0.0431,0.0803,2255,40590,212,203,601,1016,0.0157,0.015,0.0444,0.0751
AP014633,3964,71352,357,429,801,1587,0.015,0.018,0.0337,0.0667,3964,71352,366,471,873,1710,0.0154,0.0198,0.0367,0.0719
CP000473,8002,144036,384,654,332,1370,0.008,0.0136,0.0069,0.0285,8002,144036,412,565,389,1366,0.0086,0.0118,0.0081,0.0285
CP004349,2676,48168,254,242,779,1275,0.0158,0.0151,0.0485,0.0794,2676,48168,228,253,913,1394,0.0142,0.0158,0.0569,0.0868
CP001848,4825,86850,231,341,160,732,0.008,0.0118,0.0055,0.0253,4825,86850,241,359,169,769,0.0083,0.0124,0.0058,0.0266
AP009152,2356,42408,28,113,10,151,0.002,0.008,0.0007,0.0107,2356,42408,67,145,12,224,0.0047,0.0103,0.0008,0.0158
CP003926,3543,63774,110,357,156,623,0.0052,0.0168,0.0073,0.0293,3543,63774,112,326,161,599,0.0053,0.0153,0.0076,0.0282
CP001736,7149,128682,123,378,34,535,0.0029,0.0088,0.0008,0.0125,7149,128682,193,437,72,702,0.0045,0.0102,0.0017,0.0164
CP000961,5096,91728,464,527,988,1979,0.0152,0.0172,0.0323,0.0647,5096,91728,455,492,957,1904,0.0149,0.0161,0.0313,0.0623
CP001673,2582,46476,137,274,619,1030,0.0088,0.0177,0.04,0.0665,2582,46476,148,269,605,1022,0.0096,0.0174,0.0391,0.066
FP565814,3086,55548,89,193,36,318,0.0048,0.0104,0.0019,0.0172,3086,55548,92,258,69,419,0.005,0.0139,0.0037,0.0226
CP007031,3333,59994,59,235,29,323,0.003,0.0118,0.0015,0.0162,3333,59994,62,248,30,340,0.0031,0.0124,0.0015,0.017
CP002663,3754,67572,182,350,248,780,0.0081,0.0155,0.011,0.0346,3754,67572,208,370,271,849,0.0092,0.0164,0.012,0.0377
CP003422,7578,136404,247,569,391,1207,0.0054,0.0125,0.0086,0.0265,7578,136404,295,585,400,1280,0.0065,0.0129,0.0088,0.0282
CP002162,6362,114516,65,283,61,409,0.0017,0.0074,0.0016,0.0107,6362,114516,128,304,77,509,0.0034,0.008,0.002,0.0133
CP002027,911,16398,68,0,295,363,0.0124,0,0.054,0.0664,911,16398,70,0,272,342,0.0128,0,0.0498,0.0626
AP012224,4015,72270,120,321,134,575,0.005,0.0133,0.0056,0.0239,4015,72270,130,382,152,664,0.0054,0.0159,0.0063,0.0276
CP001037,6507,117126,635,666,1107,2408,0.0163,0.0171,0.0284,0.0617,6507,117126,637,643,1116,2396,0.0163,0.0165,0.0286,0.0614
CP001349,7768,139824,92,401,64,557,0.002,0.0086,0.0014,0.012,7768,139824,103,464,89,656,0.0022,0.01,0.0019,0.0141
AP012273,2862,51516,99,334,103,536,0.0058,0.0195,0.006,0.0312,2862,51516,89,296,103,488,0.0052,0.0172,0.006,0.0284
CP009450,5038,90684,175,530,417,1122,0.0058,0.0175,0.0138,0.0371,5038,90684,188,450,495,1133,0.0062,0.0149,0.0164,0.0375
AP012320,4706,84708,74,255,34,363,0.0026,0.009,0.0012,0.0129,4706,84708,83,288,36,407,0.0029,0.0102,0.0013,0.0144
CP003732,2897,52146,110,232,233,575,0.0063,0.0133,0.0134,0.0331,2897,52146,104,230,236,570,0.006,0.0132,0.0136,0.0328
BA000039,2475,44550,183,242,170,595,0.0123,0.0163,0.0114,0.0401,2475,44550,206,253,175,634,0.0139,0.017,0.0118,0.0427
CP001099,2141,38538,82,262,144,488,0.0064,0.0204,0.0112,0.038,2141,38538,81,289,147,517,0.0063,0.0225,0.0114,0.0402
CP003620,4757,85626,491,480,931,1902,0.0172,0.0168,0.0326,0.0666,4757,85626,473,421,1052,1946,0.0166,0.0148,0.0369,0.0682
CP001867,5156,92808,70,173,15,258,0.0023,0.0056,0.0005,0.0083,5156,92808,82,190,12,284,0.0027,0.0061,0.0004,0.0092
CP006265,2646,47628,277,241,541,1059,0.0174,0.0152,0.0341,0.0667,2646,47628,271,291,601,1163,0.0171,0.0183,0.0379,0.0733
CP007161,3934,70812,293,327,665,1285,0.0124,0.0139,0.0282,0.0544,3934,70812,289,319,737,1345,0.0122,0.0135,0.0312,0.057
CP001631,2095,37710,56,99,5,160,0.0045,0.0079,0.0004,0.0127,2095,37710,78,98,12,188,0.0062,0.0078,0.001,0.015
FP929056,1435,25830,21,101,52,174,0.0024,0.0117,0.006,0.0202,1435,25830,35,118,74,227,0.0041,0.0137,0.0086,0.0264
CP002158,3131,56358,229,259,367,855,0.0122,0.0138,0.0195,0.0455,3131,56358,277,225,410,912,0.0147,0.012,0.0218,0.0485
CP002271,8407,151326,167,493,101,761,0.0033,0.0098,0.002,0.0151,8407,151326,185,525,110,820,0.0037,0.0104,0.0022,0.0163
CP007566,4492,80856,141,511,210,862,0.0052,0.019,0.0078,0.032,4492,80856,135,492,216,843,0.005,0.0183,0.008,0.0313
CP003876,8471,152478,188,455,107,750,0.0037,0.009,0.0021,0.0148,8471,152478,273,521,158,952,0.0054,0.0103,0.0031,0.0187
CP009217,1780,32040,150,118,499,767,0.014,0.011,0.0467,0.0718,1780,32040,168,122,543,833,0.0157,0.0114,0.0508,0.078
HE956757,3666,65988,105,266,100,471,0.0048,0.0121,0.0045,0.0214,3666,65988,107,249,105,461,0.0049,0.0113,0.0048,0.021
CP000061,706,12708,22,62,237,321,0.0052,0.0146,0.0559,0.0758,706,12708,50,36,204,290,0.0118,0.0085,0.0482,0.0685
CP003837,5695,102510,539,620,1218,2377,0.0158,0.0181,0.0356,0.0696,5695,102510,492,638,1121,2251,0.0144,0.0187,0.0328,0.0659
CP002725,1397,25146,138,110,277,525,0.0165,0.0131,0.033,0.0626,1397,25146,128,129,275,532,0.0153,0.0154,0.0328,0.0635
AP012551,5122,92196,156,535,403,1094,0.0051,0.0174,0.0131,0.0356,5122,92196,172,560,405,1137,0.0056,0.0182,0.0132,0.037
AP012044,4656,83808,136,373,321,830,0.0049,0.0134,0.0115,0.0297,4656,83808,140,444,373,957,0.005,0.0159,0.0134,0.0343
CP004393,4443,79974,48,285,54,387,0.0018,0.0107,0.002,0.0145,4443,79974,49,318,64,431,0.0018,0.0119,0.0024,0.0162
CP000153,2163,38934,213,215,451,879,0.0164,0.0166,0.0348,0.0677,2163,38934,199,161,483,843,0.0153,0.0124,0.0372,0.065
CP000850,5173,93114,111,279,41,431,0.0036,0.009,0.0013,0.0139,5173,93114,117,291,49,457,0.0038,0.0094,0.0016,0.0147
CP001312,3587,64566,32,246,28,306,0.0015,0.0114,0.0013,0.0142,3587,64566,38,267,48,353,0.0018,0.0124,0.0022,0.0164
CP001607,2348,42264,154,284,445,883,0.0109,0.0202,0.0316,0.0627,2348,42264,133,246,473,852,0.0094,0.0175,0.0336,0.0605
CP002355,2607,46926,170,250,325,745,0.0109,0.016,0.0208,0.0476,2607,46926,184,212,371,767,0.0118,0.0136,0.0237,0.049
CP003051,3698,66564,92,234,70,396,0.0041,0.0105,0.0032,0.0178,3698,66564,117,244,74,435,0.0053,0.011,0.0033,0.0196
CP000387,2348,42264,179,252,320,751,0.0127,0.0179,0.0227,0.0533,2348,42264,211,210,311,732,0.015,0.0149,0.0221,0.052
CP000554,3136,56448,183,445,260,888,0.0097,0.0237,0.0138,0.0472,3136,56448,211,401,240,852,0.0112,0.0213,0.0128,0.0453
CP000411,1864,33552,120,165,365,650,0.0107,0.0148,0.0326,0.0581,1864,33552,97,144,368,609,0.0087,0.0129,0.0329,0.0545
CP001650,4713,84834,466,525,1193,2184,0.0165,0.0186,0.0422,0.0772,4713,84834,448,525,1220,2193,0.0158,0.0186,0.0431,0.0776
CP003801,1531,27558,121,188,411,720,0.0132,0.0205,0.0447,0.0784,1531,27558,112,152,411,675,0.0122,0.0165,0.0447,0.0735
