accession,tot_UTRs,tot_seq,num_of_tag_coding,num_of_tga_coding,num_of_taa_coding,total_number_of_ASC_coding,frequency_tag_coding,frequency_tga_coding,frequency_taa_coding,frequency_ASC_coding,tot_UTRs_non_coding,tot_seq_non_coding,num_of_tag_non_coding,num_of_tga_non_coding,num_of_taa_non_coding,total_number_of_ASC_non_coding,frequency_tag_non_coding,frequency_tga_non_coding,frequency_taa_non_coding,frequency_ASC_non_coding
CP000448,2642,47556,168,210,380,758,0.0106,0.0132,0.024,0.0478,58,1044,4,6,10,20,0.0115,0.0172,0.0287,0.0575
CP002547,3439,61902,111,357,342,810,0.0054,0.0173,0.0166,0.0393,64,1152,8,5,6,19,0.0208,0.013,0.0156,0.0495
CP001804,6952,125136,159,313,86,558,0.0038,0.0075,0.0021,0.0134,48,864,3,5,1,9,0.0104,0.0174,0.0035,0.0312
CP001279,1794,32292,97,164,395,656,0.009,0.0152,0.0367,0.0609,47,846,6,8,4,18,0.0213,0.0284,0.0142,0.0638
CP001629,3568,64224,82,308,157,547,0.0038,0.0144,0.0073,0.0256,58,1044,2,6,1,9,0.0057,0.0172,0.0029,0.0259
CP002455,2181,39258,193,165,454,812,0.0147,0.0126,0.0347,0.0621,57,1026,9,3,15,27,0.0263,0.0088,0.0439,0.0789
CP000038,4553,81954,268,453,462,1183,0.0098,0.0166,0.0169,0.0433,89,1602,4,11,10,25,0.0075,0.0206,0.0187,0.0468
CP010311,3287,59166,54,294,138,486,0.0027,0.0149,0.007,0.0246,46,828,4,4,4,12,0.0145,0.0145,0.0145,0.0435
CP001280,3978,71604,101,268,97,466,0.0042,0.0112,0.0041,0.0195,63,1134,4,7,0,11,0.0106,0.0185,0,0.0291
CP011280,1298,23364,111,96,265,472,0.0143,0.0123,0.034,0.0606,38,684,6,2,6,14,0.0263,0.0088,0.0263,0.0614
CP002156,2737,49266,93,216,79,388,0.0057,0.0132,0.0048,0.0236,32,576,0,3,1,4,0,0.0156,0.0052,0.0208
CP001146,1973,35514,145,211,426,782,0.0122,0.0178,0.036,0.0661,38,684,5,2,3,10,0.0219,0.0088,0.0132,0.0439
HF563609,2748,49464,175,263,552,990,0.0106,0.016,0.0335,0.06,68,1224,8,4,16,28,0.0196,0.0098,0.0392,0.0686
FP475956,3685,66330,89,310,72,471,0.004,0.014,0.0033,0.0213,40,720,6,1,5,12,0.025,0.0042,0.0208,0.05
FQ859181,4969,89442,150,395,170,715,0.005,0.0132,0.0057,0.024,36,648,3,1,0,4,0.0139,0.0046,0,0.0185
CP003985,3560,64080,206,401,413,1020,0.0096,0.0188,0.0193,0.0478,40,720,2,4,5,11,0.0083,0.0167,0.0208,0.0458
AM743169,4430,79740,90,276,59,425,0.0034,0.0104,0.0022,0.016,1,18,0,0,0,0,0,0,0,0
CP002382,2476,44568,70,221,201,492,0.0047,0.0149,0.0135,0.0331,29,522,1,0,1,2,0.0057,0,0.0057,0.0115
CP006569,4097,73746,172,370,343,885,0.007,0.0151,0.014,0.036,83,1494,6,16,8,30,0.012,0.0321,0.0161,0.0602
CP007051,1909,34362,153,142,391,686,0.0134,0.0124,0.0341,0.0599,39,702,4,2,11,17,0.0171,0.0085,0.047,0.0726
CP001185,2043,36774,127,190,395,712,0.0104,0.0155,0.0322,0.0581,43,774,2,5,10,17,0.0078,0.0194,0.0388,0.0659
AP012050,2411,43398,193,287,495,975,0.0133,0.0198,0.0342,0.0674,0,0,0,0,0,0,,,,
CP009761,1531,27558,99,122,359,580,0.0108,0.0133,0.0391,0.0631,42,756,8,2,9,19,0.0317,0.0079,0.0357,0.0754
CP006617,1302,23436,126,103,188,417,0.0161,0.0132,0.0241,0.0534,27,486,1,2,3,6,0.0062,0.0123,0.0185,0.037
CP003415,4804,86472,259,530,560,1349,0.009,0.0184,0.0194,0.0468,85,1530,3,6,12,21,0.0059,0.0118,0.0235,0.0412
CP000393,5124,92232,575,473,1045,2093,0.0187,0.0154,0.034,0.0681,35,630,4,4,15,23,0.019,0.019,0.0714,0.1095
CP003946,4654,83772,316,446,538,1300,0.0113,0.016,0.0193,0.0466,80,1440,10,9,10,29,0.0208,0.0187,0.0208,0.0604
AP014583,3527,63486,365,386,1058,1809,0.0172,0.0182,0.05,0.0855,0,0,0,0,0,0,,,,
FM162591,4373,78714,310,530,803,1643,0.0118,0.0202,0.0306,0.0626,0,0,0,0,0,0,,,,
CP000686,4682,84276,121,456,105,682,0.0043,0.0162,0.0037,0.0243,51,918,2,5,0,7,0.0065,0.0163,0,0.0229
CP002584,5340,96120,483,508,1143,2134,0.0151,0.0159,0.0357,0.0666,57,1026,5,3,2,10,0.0146,0.0088,0.0058,0.0292
AP012338,3203,57654,63,76,22,161,0.0033,0.004,0.0011,0.0084,0,0,0,0,0,0,,,,
AP012292,2826,50868,147,272,297,716,0.0087,0.016,0.0175,0.0422,0,0,0,0,0,0,,,,
CP003403,4541,81738,132,570,475,1177,0.0048,0.0209,0.0174,0.0432,82,1476,4,3,14,21,0.0081,0.0061,0.0285,0.0427
CP003546,963,17334,73,96,116,285,0.0126,0.0166,0.0201,0.0493,34,612,2,3,5,10,0.0098,0.0147,0.0245,0.049
CP007155,8878,159804,178,571,60,809,0.0033,0.0107,0.0011,0.0152,44,792,1,5,1,7,0.0038,0.0189,0.0038,0.0265
CP002479,4600,82800,176,366,236,778,0.0064,0.0133,0.0086,0.0282,58,1044,3,5,13,21,0.0086,0.0144,0.0374,0.0603
FP929062,2993,53874,119,320,284,723,0.0066,0.0178,0.0158,0.0403,0,0,0,0,0,0,,,,
AP012046,2555,45990,171,235,489,895,0.0112,0.0153,0.0319,0.0584,0,0,0,0,0,0,,,,
CP000628,3852,69336,137,321,129,587,0.0059,0.0139,0.0056,0.0254,53,954,4,4,5,13,0.0126,0.0126,0.0157,0.0409
CP005996,2571,46278,217,249,570,1036,0.0141,0.0161,0.037,0.0672,34,612,2,6,7,15,0.0098,0.0294,0.0343,0.0735
CP005094,5213,93834,132,312,85,529,0.0042,0.01,0.0027,0.0169,81,1458,3,3,2,8,0.0062,0.0062,0.0041,0.0165
CP002028,3082,55476,142,254,369,765,0.0077,0.0137,0.02,0.0414,54,972,6,7,25,38,0.0185,0.0216,0.0772,0.1173
AP011112,1894,34092,151,167,344,662,0.0133,0.0147,0.0303,0.0583,0,0,0,0,0,0,,,,
CP001080,1829,32922,124,165,411,700,0.0113,0.015,0.0375,0.0638,42,756,6,3,9,18,0.0238,0.0119,0.0357,0.0714
CP010557,5075,91350,221,493,460,1174,0.0073,0.0162,0.0151,0.0386,107,1926,1,10,17,28,0.0016,0.0156,0.0265,0.0436
HF571988,4350,78300,301,548,635,1484,0.0115,0.021,0.0243,0.0569,24,432,2,12,9,23,0.0139,0.0833,0.0625,0.1597
CP001429,622,11196,29,53,148,230,0.0078,0.0142,0.0397,0.0616,32,576,3,2,7,12,0.0156,0.0104,0.0365,0.0625
CP003947,3539,63702,332,423,885,1640,0.0156,0.0199,0.0417,0.0772,35,630,6,7,7,20,0.0286,0.0333,0.0333,0.0952
CP000238,651,11718,89,59,191,339,0.0228,0.0151,0.0489,0.0868,35,630,5,2,19,26,0.0238,0.0095,0.0905,0.1238
CP007142,6007,108126,266,818,610,1694,0.0074,0.0227,0.0169,0.047,43,774,4,3,16,23,0.0155,0.0116,0.062,0.0891
CP001096,5383,96894,108,410,78,596,0.0033,0.0127,0.0024,0.0185,54,972,2,2,3,7,0.0062,0.0062,0.0093,0.0216
CP002593,6750,121500,90,289,22,401,0.0022,0.0071,0.0005,0.0099,70,1260,4,3,1,8,0.0095,0.0071,0.0024,0.019
CP003382,3824,68832,82,326,82,490,0.0036,0.0142,0.0036,0.0214,60,1080,3,3,0,6,0.0083,0.0083,0,0.0167
CP001700,9128,164304,212,638,95,945,0.0039,0.0116,0.0017,0.0173,81,1458,7,8,4,19,0.0144,0.0165,0.0082,0.0391
CP000812,2110,37980,88,295,218,601,0.007,0.0233,0.0172,0.0475,36,648,0,5,3,8,0,0.0231,0.0139,0.037
CP002985,3336,60048,122,254,161,537,0.0061,0.0127,0.008,0.0268,62,1116,5,5,10,20,0.0134,0.0134,0.0269,0.0538
CP010812,3729,67122,223,435,424,1082,0.01,0.0194,0.019,0.0484,97,1746,4,10,15,29,0.0069,0.0172,0.0258,0.0498
CP001184,692,12456,40,0,243,283,0.0096,0,0.0585,0.0682,27,486,2,0,13,15,0.0123,0,0.0802,0.0926
FO117623,4844,87192,77,180,13,270,0.0026,0.0062,0.0004,0.0093,0,0,0,0,0,0,,,,
AP012051,1582,28476,105,132,340,577,0.0111,0.0139,0.0358,0.0608,0,0,0,0,0,0,,,,
CP006704,5741,103338,223,606,154,983,0.0065,0.0176,0.0045,0.0285,114,2052,8,18,13,39,0.0117,0.0263,0.019,0.057
CP003156,3563,64134,342,393,677,1412,0.016,0.0184,0.0317,0.066,33,594,4,1,8,13,0.0202,0.0051,0.0404,0.0657
CP006587,4180,75240,355,363,265,983,0.0142,0.0145,0.0106,0.0392,42,756,2,3,1,6,0.0079,0.0119,0.004,0.0238
CP000453,2940,52920,56,219,66,341,0.0032,0.0124,0.0037,0.0193,48,864,2,4,2,8,0.0069,0.0139,0.0069,0.0278
AP012495,7270,130860,421,767,922,2110,0.0097,0.0176,0.0211,0.0484,0,0,0,0,0,0,,,,
CP001110,2979,53622,94,316,284,694,0.0053,0.0177,0.0159,0.0388,67,1206,6,4,7,17,0.0149,0.01,0.0174,0.0423
CP003984,3092,55656,143,282,201,626,0.0077,0.0152,0.0108,0.0337,31,558,5,5,3,13,0.0269,0.0269,0.0161,0.0699
CP001055,1599,28782,70,104,453,627,0.0073,0.0108,0.0472,0.0654,32,576,2,1,13,16,0.0104,0.0052,0.0677,0.0833
CP003592,3703,66654,407,414,717,1538,0.0183,0.0186,0.0323,0.0692,42,756,5,7,7,19,0.0198,0.0278,0.0278,0.0754
CP001686,2694,48492,26,143,7,176,0.0016,0.0088,0.0004,0.0109,45,810,2,2,0,4,0.0074,0.0074,0,0.0148
CP002045,1885,33930,120,141,122,383,0.0106,0.0125,0.0108,0.0339,66,1188,4,5,4,13,0.0101,0.0126,0.0101,0.0328
CP003879,3950,71100,347,358,907,1612,0.0146,0.0151,0.0383,0.068,33,594,0,4,11,15,0,0.0202,0.0556,0.0758
CP007139,4870,87660,305,336,231,872,0.0104,0.0115,0.0079,0.0298,40,720,2,3,2,7,0.0083,0.0125,0.0083,0.0292
CP001147,2089,37602,151,213,452,816,0.012,0.017,0.0361,0.0651,40,720,1,2,15,18,0.0042,0.0083,0.0625,0.075
CP004345,3624,65232,78,459,497,1034,0.0036,0.0211,0.0229,0.0476,80,1440,2,20,8,30,0.0042,0.0417,0.0167,0.0625
CP000613,4102,73836,44,189,20,253,0.0018,0.0077,0.0008,0.0103,53,954,1,4,0,5,0.0031,0.0126,0,0.0157
CP001281,4066,73188,55,229,34,318,0.0023,0.0094,0.0014,0.013,72,1296,3,5,2,10,0.0069,0.0116,0.0046,0.0231
CP003746,3887,69966,146,372,260,778,0.0063,0.016,0.0111,0.0334,51,918,2,5,7,14,0.0065,0.0163,0.0229,0.0458
CP004083,4363,78534,275,525,543,1343,0.0105,0.0201,0.0207,0.0513,73,1314,3,7,8,18,0.0068,0.016,0.0183,0.0411
CP002157,3459,62262,298,386,809,1493,0.0144,0.0186,0.039,0.0719,26,468,1,3,4,8,0.0064,0.0192,0.0256,0.0513
CP010310,5020,90360,79,337,69,485,0.0026,0.0112,0.0023,0.0161,88,1584,0,4,2,6,0,0.0076,0.0038,0.0114
CP002287,6532,117576,200,441,138,779,0.0051,0.0113,0.0035,0.0199,57,1026,0,3,2,5,0,0.0088,0.0058,0.0146
CU207366,3584,64512,345,378,936,1659,0.016,0.0176,0.0435,0.0771,0,0,0,0,0,0,,,,
CP002638,6013,108234,88,317,48,453,0.0024,0.0088,0.0013,0.0126,40,720,3,2,0,5,0.0125,0.0083,0,0.0208
CP003183,2726,49068,57,303,112,472,0.0035,0.0185,0.0068,0.0289,41,738,0,9,4,13,0,0.0366,0.0163,0.0528
AP012342,2421,43578,55,280,116,451,0.0038,0.0193,0.008,0.031,0,0,0,0,0,0,,,,
CP001628,2345,42210,27,99,3,129,0.0019,0.007,0.0002,0.0092,51,918,0,6,1,7,0,0.0196,0.0033,0.0229
CP002395,2409,43362,87,228,140,455,0.006,0.0158,0.0097,0.0315,24,432,1,5,3,9,0.0069,0.0347,0.0208,0.0625
CP001940,2733,49194,75,221,233,529,0.0046,0.0135,0.0142,0.0323,52,936,2,6,4,12,0.0064,0.0192,0.0128,0.0385
CP000828,6396,115128,520,760,685,1965,0.0136,0.0198,0.0178,0.0512,61,1098,7,6,9,22,0.0191,0.0164,0.0246,0.0601
CP002116,4363,78534,212,418,351,981,0.0081,0.016,0.0134,0.0375,44,792,3,4,7,14,0.0114,0.0152,0.0265,0.053
CP002546,4865,87570,133,450,168,751,0.0046,0.0154,0.0058,0.0257,47,846,1,8,1,10,0.0035,0.0284,0.0035,0.0355
CP003642,6238,112284,577,647,966,2190,0.0154,0.0173,0.0258,0.0585,75,1350,3,7,6,16,0.0067,0.0156,0.0133,0.0356
CP000449,3133,56394,63,256,60,379,0.0034,0.0136,0.0032,0.0202,42,756,1,5,1,7,0.004,0.0198,0.004,0.0278
AP013066,2982,53676,131,332,261,724,0.0073,0.0186,0.0146,0.0405,0,0,0,0,0,0,,,,
AP009484,1959,35262,148,242,413,803,0.0126,0.0206,0.0351,0.0683,0,0,0,0,0,0,,,,
CP001034,3000,54000,249,287,608,1144,0.0138,0.0159,0.0338,0.0636,39,702,3,6,7,16,0.0128,0.0256,0.0299,0.0684
AM999887,1384,24912,130,119,355,604,0.0157,0.0143,0.0428,0.0727,1,18,0,0,0,0,0,0,0,0
FP929038,2985,53730,180,421,401,1002,0.0101,0.0235,0.0224,0.0559,0,0,0,0,0,0,,,,
CP002835,4046,72828,146,370,344,860,0.006,0.0152,0.0142,0.0354,91,1638,7,13,18,38,0.0128,0.0238,0.033,0.0696
CP000388,4392,79056,359,484,687,1530,0.0136,0.0184,0.0261,0.0581,68,1224,3,8,7,18,0.0074,0.0196,0.0172,0.0441
CP001825,1937,34866,181,158,225,564,0.0156,0.0136,0.0194,0.0485,49,882,13,0,7,20,0.0442,0,0.0238,0.068
AP014648,3342,60156,134,228,93,455,0.0067,0.0114,0.0046,0.0227,0,0,0,0,0,0,,,,
CP002209,3947,71046,130,378,210,718,0.0055,0.016,0.0089,0.0303,124,2232,16,7,8,31,0.0215,0.0094,0.0108,0.0417
CP003418,3245,58410,177,427,812,1416,0.0091,0.0219,0.0417,0.0727,34,612,2,3,12,17,0.0098,0.0147,0.0588,0.0833
CP001560,4017,72306,149,393,407,949,0.0062,0.0163,0.0169,0.0394,95,1710,2,6,12,20,0.0035,0.0105,0.0211,0.0351
CP001130,1694,30492,148,108,373,629,0.0146,0.0106,0.0367,0.0619,36,648,5,3,9,17,0.0231,0.0139,0.0417,0.0787
CP001999,3220,57960,278,271,882,1431,0.0144,0.014,0.0457,0.0741,59,1062,2,4,23,29,0.0056,0.0113,0.065,0.0819
CP002198,5664,101952,563,620,1138,2321,0.0166,0.0182,0.0335,0.0683,54,972,9,7,12,28,0.0278,0.0216,0.037,0.0864
CP003273,4755,85590,214,327,757,1298,0.0075,0.0115,0.0265,0.0455,70,1260,3,3,7,13,0.0071,0.0071,0.0167,0.031
CP003789,1433,25794,93,145,345,583,0.0108,0.0169,0.0401,0.0678,43,774,3,11,7,21,0.0116,0.0426,0.0271,0.0814
CP002874,2923,52614,189,218,1134,1541,0.0108,0.0124,0.0647,0.0879,30,540,1,1,5,7,0.0056,0.0056,0.0278,0.0389
CP000849,1511,27198,128,128,449,705,0.0141,0.0141,0.0495,0.0778,25,450,0,2,9,11,0,0.0133,0.06,0.0733
CP001472,3497,62946,90,266,103,459,0.0043,0.0127,0.0049,0.0219,34,612,0,3,6,9,0,0.0147,0.0294,0.0441
CP002049,3046,54828,177,145,88,410,0.0097,0.0079,0.0048,0.0224,45,810,10,2,3,15,0.037,0.0074,0.0111,0.0556
CP002360,3033,54594,165,237,415,817,0.0091,0.013,0.0228,0.0449,42,756,3,3,11,17,0.0119,0.0119,0.0437,0.0675
CP006773,4189,75402,106,318,87,511,0.0042,0.0127,0.0035,0.0203,57,1026,0,4,8,12,0,0.0117,0.0234,0.0351
CP002858,2399,43182,112,255,460,827,0.0078,0.0177,0.032,0.0575,44,792,3,7,5,15,0.0114,0.0265,0.0189,0.0568
CP001798,4015,72270,283,358,425,1066,0.0117,0.0149,0.0176,0.0443,64,1152,5,4,12,21,0.013,0.0104,0.0312,0.0547
CP001632,2255,40590,275,228,583,1086,0.0203,0.0169,0.0431,0.0803,46,828,3,5,5,13,0.0109,0.0181,0.0181,0.0471
AP014633,3964,71352,357,429,801,1587,0.015,0.018,0.0337,0.0667,0,0,0,0,0,0,,,,
CP000473,8002,144036,384,654,332,1370,0.008,0.0136,0.0069,0.0285,47,846,6,5,5,16,0.0213,0.0177,0.0177,0.0567
CP004349,2676,48168,254,242,779,1275,0.0158,0.0151,0.0485,0.0794,32,576,4,2,13,19,0.0208,0.0104,0.0677,0.099
CP001848,4825,86850,231,341,160,732,0.008,0.0118,0.0055,0.0253,42,756,5,3,6,14,0.0198,0.0119,0.0238,0.0556
AP009152,2356,42408,28,113,10,151,0.002,0.008,0.0007,0.0107,0,0,0,0,0,0,,,,
CP003926,3543,63774,110,357,156,623,0.0052,0.0168,0.0073,0.0293,50,900,5,1,4,10,0.0167,0.0033,0.0133,0.0333
CP001736,7149,128682,123,378,34,535,0.0029,0.0088,0.0008,0.0125,60,1080,4,2,2,8,0.0111,0.0056,0.0056,0.0222
CP000961,5096,91728,464,527,988,1979,0.0152,0.0172,0.0323,0.0647,146,2628,11,12,35,58,0.0126,0.0137,0.04,0.0662
CP001673,2582,46476,137,274,619,1030,0.0088,0.0177,0.04,0.0665,34,612,4,0,3,7,0.0196,0,0.0147,0.0343
FP565814,3086,55548,89,193,36,318,0.0048,0.0104,0.0019,0.0172,0,0,0,0,0,0,,,,
CP007031,3333,59994,59,235,29,323,0.003,0.0118,0.0015,0.0162,56,1008,1,4,1,6,0.003,0.0119,0.003,0.0179
CP002663,3754,67572,182,350,248,780,0.0081,0.0155,0.011,0.0346,43,774,6,3,4,13,0.0233,0.0116,0.0155,0.0504
CP003422,7578,136404,247,569,391,1207,0.0054,0.0125,0.0086,0.0265,118,2124,16,14,14,44,0.0226,0.0198,0.0198,0.0621
CP002162,6362,114516,65,283,61,409,0.0017,0.0074,0.0016,0.0107,44,792,1,1,0,2,0.0038,0.0038,0,0.0076
CP002027,911,16398,68,0,295,363,0.0124,0,0.054,0.0664,27,486,2,0,9,11,0.0123,0,0.0556,0.0679
AP012224,4015,72270,120,321,134,575,0.005,0.0133,0.0056,0.0239,0,0,0,0,0,0,,,,
CP001037,6507,117126,635,666,1107,2408,0.0163,0.0171,0.0284,0.0617,86,1548,8,6,16,30,0.0155,0.0116,0.031,0.0581
CP001349,7768,139824,92,401,64,557,0.002,0.0086,0.0014,0.012,96,1728,4,1,10,15,0.0069,0.0017,0.0174,0.026
AP012273,2862,51516,99,334,103,536,0.0058,0.0195,0.006,0.0312,1,18,0,1,0,1,0,0.1667,0,0.1667
CP009450,5038,90684,175,530,417,1122,0.0058,0.0175,0.0138,0.0371,100,1800,4,11,7,22,0.0067,0.0183,0.0117,0.0367
AP012320,4706,84708,74,255,34,363,0.0026,0.009,0.0012,0.0129,0,0,0,0,0,0,,,,
CP003732,2897,52146,110,232,233,575,0.0063,0.0133,0.0134,0.0331,36,648,4,2,3,9,0.0185,0.0093,0.0139,0.0417
BA000039,2475,44550,183,242,170,595,0.0123,0.0163,0.0114,0.0401,0,0,0,0,0,0,,,,
CP001099,2141,38538,82,262,144,488,0.0064,0.0204,0.0112,0.038,55,990,3,6,4,13,0.0091,0.0182,0.0121,0.0394
CP003620,4757,85626,491,480,931,1902,0.0172,0.0168,0.0326,0.0666,33,594,1,5,7,13,0.0051,0.0253,0.0354,0.0657
CP001867,5156,92808,70,173,15,258,0.0023,0.0056,0.0005,0.0083,66,1188,2,6,5,13,0.0051,0.0152,0.0126,0.0328
CP006265,2646,47628,277,241,541,1059,0.0174,0.0152,0.0341,0.0667,49,882,11,5,14,30,0.0374,0.017,0.0476,0.102
CP007161,3934,70812,293,327,665,1285,0.0124,0.0139,0.0282,0.0544,58,1044,9,7,16,32,0.0259,0.0201,0.046,0.092
CP001631,2095,37710,56,99,5,160,0.0045,0.0079,0.0004,0.0127,60,1080,5,3,2,10,0.0139,0.0083,0.0056,0.0278
FP929056,1435,25830,21,101,52,174,0.0024,0.0117,0.006,0.0202,0,0,0,0,0,0,,,,
CP002158,3131,56358,229,259,367,855,0.0122,0.0138,0.0195,0.0455,45,810,3,3,5,11,0.0111,0.0111,0.0185,0.0407
CP002271,8407,151326,167,493,101,761,0.0033,0.0098,0.002,0.0151,43,774,2,1,1,4,0.0078,0.0039,0.0039,0.0155
CP007566,4492,80856,141,511,210,862,0.0052,0.019,0.0078,0.032,125,2250,4,17,20,41,0.0053,0.0227,0.0267,0.0547
CP003876,8471,152478,188,455,107,750,0.0037,0.009,0.0021,0.0148,41,738,0,2,0,2,0,0.0081,0,0.0081
CP009217,1780,32040,150,118,499,767,0.014,0.011,0.0467,0.0718,33,594,5,4,6,15,0.0253,0.0202,0.0303,0.0758
HE956757,3666,65988,105,266,100,471,0.0048,0.0121,0.0045,0.0214,0,0,0,0,0,0,,,,
CP000061,706,12708,22,62,237,321,0.0052,0.0146,0.0559,0.0758,30,540,3,1,10,14,0.0167,0.0056,0.0556,0.0778
CP003837,5695,102510,539,620,1218,2377,0.0158,0.0181,0.0356,0.0696,68,1224,0,7,14,21,0,0.0172,0.0343,0.0515
CP002725,1397,25146,138,110,277,525,0.0165,0.0131,0.033,0.0626,42,756,1,6,3,10,0.004,0.0238,0.0119,0.0397
AP012551,5122,92196,156,535,403,1094,0.0051,0.0174,0.0131,0.0356,0,0,0,0,0,0,,,,
AP012044,4656,83808,136,373,321,830,0.0049,0.0134,0.0115,0.0297,0,0,0,0,0,0,,,,
CP004393,4443,79974,48,285,54,387,0.0018,0.0107,0.002,0.0145,34,612,0,2,6,8,0,0.0098,0.0294,0.0392
CP000153,2163,38934,213,215,451,879,0.0164,0.0166,0.0348,0.0677,45,810,3,6,14,23,0.0111,0.0222,0.0519,0.0852
CP000850,5173,93114,111,279,41,431,0.0036,0.009,0.0013,0.0139,66,1188,2,6,1,9,0.0051,0.0152,0.0025,0.0227
CP001312,3587,64566,32,246,28,306,0.0015,0.0114,0.0013,0.0142,37,666,8,2,2,12,0.036,0.009,0.009,0.0541
CP001607,2348,42264,154,284,445,883,0.0109,0.0202,0.0316,0.0627,57,1026,4,9,11,24,0.0117,0.0263,0.0322,0.0702
CP002355,2607,46926,170,250,325,745,0.0109,0.016,0.0208,0.0476,44,792,2,2,10,14,0.0076,0.0076,0.0379,0.053
CP003051,3698,66564,92,234,70,396,0.0041,0.0105,0.0032,0.0178,57,1026,1,2,2,5,0.0029,0.0058,0.0058,0.0146
CP000387,2348,42264,179,252,320,751,0.0127,0.0179,0.0227,0.0533,54,972,13,5,12,30,0.0401,0.0154,0.037,0.0926
CP000554,3136,56448,183,445,260,888,0.0097,0.0237,0.0138,0.0472,84,1512,6,10,12,28,0.0119,0.0198,0.0238,0.0556
CP000411,1864,33552,120,165,365,650,0.0107,0.0148,0.0326,0.0581,36,648,1,9,9,19,0.0046,0.0417,0.0417,0.088
CP001650,4713,84834,466,525,1193,2184,0.0165,0.0186,0.0422,0.0772,46,828,1,3,9,13,0.0036,0.0109,0.0326,0.0471
CP003801,1531,27558,121,188,411,720,0.0132,0.0205,0.0447,0.0784,26,468,2,6,6,14,0.0128,0.0385,0.0385,0.0897
CP002343,3710,66780,58,214,10,282,0.0026,0.0096,0.0004,0.0127,48,864,4,2,2,8,0.0139,0.0069,0.0069,0.0278
CP003944,3684,66312,247,451,640,1338,0.0112,0.0204,0.029,0.0605,75,1350,7,13,4,24,0.0156,0.0289,0.0089,0.0533
CP002085,3355,60390,70,194,87,351,0.0035,0.0096,0.0043,0.0174,37,666,1,2,1,4,0.0045,0.009,0.0045,0.018
CP000542,5070,91260,79,342,59,480,0.0026,0.0112,0.0019,0.0158,53,954,1,5,0,6,0.0031,0.0157,0,0.0189
CP010954,4440,79920,105,336,78,519,0.0039,0.0126,0.0029,0.0195,51,918,2,4,1,7,0.0065,0.0131,0.0033,0.0229
AP012547,3587,64566,98,314,91,503,0.0046,0.0146,0.0042,0.0234,0,0,0,0,0,0,,,,
CP003155,3283,59094,212,340,277,829,0.0108,0.0173,0.0141,0.0421,48,864,1,8,7,16,0.0035,0.0278,0.0243,0.0556
AP012052,3676,66168,44,155,18,217,0.002,0.007,0.0008,0.0098,0,0,0,0,0,0,,,,
CP007053,6045,108810,122,502,193,817,0.0034,0.0138,0.0053,0.0225,34,612,2,7,1,10,0.0098,0.0343,0.0049,0.049
FP236843,4596,82728,166,536,470,1172,0.006,0.0194,0.017,0.0425,0,0,0,0,0,0,,,,
CP002528,3049,54882,331,312,720,1363,0.0181,0.0171,0.0394,0.0745,39,702,8,1,7,16,0.0342,0.0043,0.0299,0.0684
AP012029,3177,57186,69,300,208,577,0.0036,0.0157,0.0109,0.0303,0,0,0,0,0,0,,,,
CP003591,3912,70416,244,344,191,779,0.0104,0.0147,0.0081,0.0332,38,684,0,1,3,4,0,0.0044,0.0132,0.0175
CP007028,1691,30438,127,121,270,518,0.0125,0.0119,0.0266,0.0511,27,486,1,2,13,16,0.0062,0.0123,0.0802,0.0988
CP000352,3870,69660,93,308,88,489,0.004,0.0133,0.0038,0.0211,49,882,1,2,7,10,0.0034,0.0068,0.0238,0.034
CP001810,2998,53964,227,312,584,1123,0.0126,0.0173,0.0325,0.0624,48,864,4,5,11,20,0.0139,0.0174,0.0382,0.0694
CP010978,4857,87426,379,448,773,1600,0.013,0.0154,0.0265,0.0549,83,1494,9,10,20,39,0.0181,0.0201,0.0402,0.0783
CP002046,2744,49392,283,214,793,1290,0.0172,0.013,0.0482,0.0784,29,522,2,1,7,10,0.0115,0.0057,0.0402,0.0575
CP001685,2370,42660,121,170,631,922,0.0085,0.012,0.0444,0.0648,62,1116,4,2,11,17,0.0108,0.0054,0.0296,0.0457
AE014184,862,15516,44,66,105,215,0.0085,0.0128,0.0203,0.0416,39,702,1,4,6,11,0.0043,0.0171,0.0256,0.047
CP009962,5082,91476,247,545,378,1170,0.0081,0.0179,0.0124,0.0384,55,990,4,0,9,13,0.0121,0,0.0273,0.0394
CP006681,1103,19854,70,0,332,402,0.0106,0,0.0502,0.0607,26,468,1,1,11,13,0.0064,0.0064,0.0705,0.0833
CP002292,3748,67464,91,277,101,469,0.004,0.0123,0.0045,0.0209,58,1044,4,4,4,12,0.0115,0.0115,0.0115,0.0345
CP011144,3242,58356,56,110,20,186,0.0029,0.0057,0.001,0.0096,41,738,1,4,1,6,0.0041,0.0163,0.0041,0.0244
CP003600,5950,107100,700,591,909,2200,0.0196,0.0166,0.0255,0.0616,63,1134,13,4,12,29,0.0344,0.0106,0.0317,0.0767
CP005384,2289,41202,198,269,438,905,0.0144,0.0196,0.0319,0.0659,66,1188,4,8,16,28,0.0101,0.0202,0.0404,0.0707
CP001778,6542,117756,200,384,105,689,0.0051,0.0098,0.0027,0.0176,46,828,0,7,0,7,0,0.0254,0,0.0254
CP003315,679,12222,25,40,245,310,0.0061,0.0098,0.0601,0.0761,34,612,4,3,20,27,0.0196,0.0147,0.098,0.1324
CP001851,2220,39960,63,205,109,377,0.0047,0.0154,0.0082,0.0283,38,684,1,4,7,12,0.0044,0.0175,0.0307,0.0526
